"cas"	"cluster"
"260"	"126-06-7"	7
"261"	"447-41-6"	7
"262"	"623-51-8"	7
"263"	"315-80-0"	7
"264"	"4682-36-4"	7
"265"	"108-98-5"	7
"266"	"1617-90-9"	7
"267"	"25389-94-0"	7
"268"	"552-22-7"	7
"269"	"31677-93-7"	7
"270"	"6138-56-3"	7
"271"	"130-20-1"	7
"272"	"611-09-6"	7
"273"	"5039-78-1"	7
"274"	"7152-80-9"	7
"275"	"90494-79-4"	7
"276"	"150408-73-4"	7
"277"	"1066-30-4"	7
"278"	"51-65-0"	7
"279"	"91-84-9"	7
"280"	"179113-91-8"	7
"281"	"14096-51-6"	7
"282"	"89565-68-4"	7
"283"	"147-24-0"	7
"284"	"58-73-1"	7
"285"	"2224-15-9"	8
"286"	"73231-34-2"	8
"287"	"159701-44-7"	8
"288"	"78-10-4"	8
"289"	"10402-53-6"	8
"290"	"673-31-4"	8
"291"	"36443-80-8"	8
"292"	"28721-07-5"	8
"293"	"3616-78-2"	8
"294"	"18109-81-4"	8
"295"	"3575-80-2"	8
"296"	"637-58-1"	8
"297"	"70458-95-6"	8
"298"	"52-24-4"	8
"299"	"5053-08-7"	8
"300"	"136-47-0"	8
"301"	"546-06-5"	8
"302"	"54188-38-4"	8
"303"	"19719-28-9"	8
"304"	"36431-72-8"	8
"305"	"124832-27-5"	8
"306"	"149-16-6"	8
"307"	"18480-53-0"	8
"308"	"54-80-8"	8
"309"	"82410-32-0"	8
"310"	"630-10-4"	8
"311"	"39809-25-1"	8
"312"	"2050-99-9"	8
"313"	"16488-48-5"	8
"314"	"34368-04-2"	8
"315"	"5875-06-9"	8
"316"	"6981-18-6"	8
"317"	"51229-78-8"	8
"318"	"130-95-0"	8
"319"	"200707-85-3"	8
"320"	"10102-18-8"	8
"321"	"59277-89-3"	8
"322"	"143-23-7"	8
"323"	"138472-01-2"	8
"324"	"1443-44-3"	8
"325"	"10022-31-8"	8
"326"	"106017-08-7"	8
"327"	"116714-46-6"	8
"328"	"63659-18-7"	8
"329"	"1248-42-6"	8
"330"	"125-86-0"	8
"331"	"972-02-1"	8
"332"	"97-39-2"	8
"333"	"2897-60-1"	8
"334"	"15318-45-3"	8
"335"	"94-23-5"	8
"336"	"35035-05-3"	8
"337"	"75-97-8"	8
