CAS RN	Structure_SMILES_2D-QSAR
1018-71-9	[O-][N+](=O)C1=C(C=CC=C1Cl)C1=CNC=C1Cl
552-89-6	[O-][N+](=O)C1=C(C=O)C=CC=C1
610-66-2	[O-][N+](=O)C1=C(CC#N)C=CC=C1
82-68-8	[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
117-18-0	[O-][N+](=O)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl
18708-70-8	[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl
121-17-5	[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F
16588-34-4	[O-][N+](=O)C1=C(Cl)C=CC(C=O)=C1
89-61-2	[O-][N+](=O)C1=C(Cl)C=CC(Cl)=C1
88-73-3	[O-][N+](=O)C1=C(Cl)C=CC=C1
86-57-7	[O-][N+](=O)C1=C2C=CC=CC2=CC=C1
602-60-8	[O-][N+](=O)C1=C2C=CC=CC2=CC2=CC=CC=C12
29091-09-6	[O-][N+](=O)C1=CC(=C(Cl)C(=C1Cl)[N+]([O-])=O)C(F)(F)F
79622-59-6	[O-][N+](=O)C1=CC(=C(Cl)C(=C1NC1=C(Cl)C=C(C=N1)C(F)(F)F)[N+]([O-])=O)C(F)(F)F
97-00-7	[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O
393-75-9	[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F
99-65-0	[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O
121-90-4	[O-][N+](=O)C1=CC(=CC=C1)C(Cl)=O
98-46-4	[O-][N+](=O)C1=CC(=CC=C1)C(F)(F)F
96-62-8	[O-][N+](=O)C1=CC(=CC=C1)S(=O)(=O)NCCNS(=O)(=O)C1=CC=CC(=C1)[N+]([O-])=O
20098-48-0	[O-][N+](=O)C1=CC(Cl)=C(Cl)C(Cl)=C1
879-39-0	[O-][N+](=O)C1=CC(Cl)=C(Cl)C(Cl)=C1Cl
89-69-0	[O-][N+](=O)C1=CC(Cl)=C(Cl)C=C1Cl
645-00-1	[O-][N+](=O)C1=CC(I)=CC=C1
1124-33-0	[O-][N+](=O)C1=CC=[N+]([O-])C=C1
100-25-4	[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O
122-04-3	[O-][N+](=O)C1=CC=C(C=C1)C(Cl)=O
14663-23-1	[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O
1222-98-6	[O-][N+](=O)C1=CC=C(C=CC(=O)C2=CC=CC=C2)C=C1
555-16-8	[O-][N+](=O)C1=CC=C(C=O)C=C1
100-11-8	[O-][N+](=O)C1=CC=C(CBr)C=C1
100-14-1	[O-][N+](=O)C1=CC=C(CCl)C=C1
22978-25-2	[O-][N+](=O)C1=CC=C(Cl)C(=C1)C(=O)NC1=CC=CC=C1
99-54-7	[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1
17700-09-3	[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1Cl
100-00-5	[O-][N+](=O)C1=CC=C(Cl)C=C1
611-06-3	[O-][N+](=O)C1=CC=C(Cl)C=C1Cl
70-34-8	[O-][N+](=O)C1=CC=C(F)C(=C1)[N+]([O-])=O
350-30-1	[O-][N+](=O)C1=CC=C(F)C(Cl)=C1
446-35-5	[O-][N+](=O)C1=CC=C(F)C=C1F
587-90-6	[O-][N+](=O)C1=CC=C(NC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)C=C1
53558-25-1	[O-][N+](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1
836-30-6	[O-][N+](=O)C1=CC=C(NC2=CC=CC=C2)C=C1
67-20-9	[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O
3759-92-0	[O-][N+](=O)C1=CC=C(O1)C=NN1CC(CN2CCOCC2)OC1=O
67-45-8	[O-][N+](=O)C1=CC=C(O1)C=NN1CCOC1=O
15457-05-3	[O-][N+](=O)C1=CC=C(OC2=C(C=C(C=C2)C(F)(F)F)[N+]([O-])=O)C=C1
