cas,cluster,smiles,inchikey
124-94-7,4,OCC(=O)[C@@]3(O)[C@H](O)C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@@]4(F)[C@@H](O)C[C@@]23C,GFNANZIMVAIWHM-OBYCQNJPSA-N
1310709-74-0,4,O.OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C(Cl)=C[C@@]12C,LIVSBYNMLPEZHQ-DNGJBDHLSA-N
2668-66-8,4,CC(=O)[C@H]4CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3[C@@H](C)C[C@H]12,GZENKSODFLBBHQ-ILSZZQPISA-N
59198-70-8,4,CCCCC(=O)OCC(=O)[C@H]4[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,HHJIUUAMYGBVSD-YTFFSALGSA-N
49697-38-3,4,O=C(OC)[C@@]4(C)[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,HJPMTDNGLRNDJA-ZVXCBTRXSA-N
50-23-7,4,OCC(=O)[C@@]4(O)CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12,JYGXADMDTFJGBT-VWUMJDOOSA-N
52-21-1,4,CC(=O)OCC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,LRJOMUJRLNCICJ-JZYPGELDSA-N
3093-35-4,4,ClCC(=O)[C@@]54OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)CC[C@@]12C,MUQNGPZZQDCDFT-JNQJZLCISA-N
53-34-9,4,OCC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,MYYIMZRZXIQBGI-HVIRSNARSA-N
4419-39-0,4,OCC(=O)[C@@]4(O)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(Cl)[C@H]3CCC1=CC(=O)C=C[C@@]12C,NBMKJKDGKREAPL-DVTGEIKXSA-N
50-24-8,4,OCC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,OIGNJSKKLXVSLS-VWUMJDOOSA-N
50-22-6,4,OCC(=O)[C@H]4CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12,OMFXVFTZEKFJBZ-HJTSIMOOSA-N
1524-88-5,4,OCC(=O)[C@@]54OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3C[C@H](F)C1=CC(=O)CC[C@@]12C,POPFMWWJOGLOIF-XWCQMRHXSA-N
71-58-9,4,CC(=O)[C@@]3(OC(C)=O)CC[C@H]2[C@@H]4C[C@H](C)C1=CC(=O)CC[C@]1(C)[C@H]4CC[C@@]23C,PSGAAPLEWMOORI-PEINSRQWSA-N
33755-46-3,4,OCC(=O)[C@@]4(OC(=O)CCCC)[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,SNHRLVCMMWUAJD-OMPPIWKSSA-N
2919-66-6,4,CC(=O)[C@@]3(OC(C)=O)C(=C)C[C@H]2[C@@H]4C=C(C)C1=CC(=O)CC[C@]1(C)[C@H]4CC[C@@]23C,UDKABVSQKJNZBH-DWNQPYOZSA-N
378-44-9,4,OCC(=O)[C@@]4(O)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,UREBDLICKHMUKA-DVTGEIKXSA-N
83-43-2,4,OCC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3C[C@H](C)C1=CC(=O)C=C[C@@]12C,VHRSUDSXCMQTMA-PJHHCJLFSA-N
