"cas","cluster"
"68-90-6",28
"66-76-2",28
"59-05-2",28
"50-44-2",28
"6112-76-1",28
"24280-93-1",28
"3810-80-8",28
"87-86-5",28
"57808-65-8",28
"935-95-5",28
"95233-18-4",28
"22662-39-1",28
"574-25-4",28
"NOCAS_47817",28
"1689-83-4",28
"50-91-9",28
"2169-64-4",28
"844-26-8",28
"128794-94-5",28
"58-90-2",28
"3562-84-3",28
"154-42-7",28
"61422-45-5",29
"3344-77-2",29
"NOCAS_48792",29
"31698-14-3",29
"21416-67-1",29
"5421-46-5",29
"126-07-8",29
"13010-08-7",29
"10102-45-1",29
"51-21-8",29
"21679-14-1",29
"563-68-8",29
"112887-68-0",29
"36791-04-5",29
"305-03-3",29
"446-86-6",29
"3131-60-0",29
"115-33-3",29
"4291-63-8",29
"122111-03-9",29
"148-82-3",29
"69-74-9",29
"147-94-4",29
"100286-90-6",29
"70-00-8",29
"70-25-7",29
"123318-82-1",29
"142340-99-6",29
"152946-68-4",29
"14008-48-1",29
"114977-28-5",29
"3094-09-5",29
"537-92-8",30
"23947-60-6",30
"150375-75-0",30
"346-18-9",30
"128-39-2",30
"99011-02-6",30
"29676-71-9",30
"79098-20-7",30
"598-91-4",30
"2439-10-3",30
"92-59-1",30
"7534-94-3",30
"3622-84-2",30
"21590-92-1",30
"144-19-4",30
"58846-77-8",30
"104206-82-8",30
"4437-51-8",30
"40876-98-0",30
"622-62-8",30
"181695-72-7",30
"104-31-4",30
"69806-40-2",30
"13494-07-0",30
"63721-05-1",30
"851916-42-2",30
"101-63-3",30
"258273-75-5",30
"827027-25-8",30
"155371-19-0",30
"1892-80-4",30
"137-58-6",30
"127-68-4",30
"1117-55-1",30
"25332-39-2",30
"144598-75-4",30
"9005-65-6",30
"77883-43-3",30
"630-16-0",30
"38462-22-5",30
"3717-88-2",30
"3586-14-9",30
"94-70-2",30
"64628-44-0",30
"80-13-7",30
"110-71-4",30
"13816-33-6",30
"1192-28-5",30
"140-57-8",30
"81-49-2",30
"59-89-2",30
"25973-55-1",30
"7324-00-7",31
"2304-30-5",31
"3115-68-2",31
"84370-95-6",31
"64-52-8",31
"81098-60-4",31
"298-57-7",31
"54143-56-5",31
"112108-01-7",31
"5397-31-9",31
"1643-19-2",31
"71119-11-4",31
"2062-84-2",31
"74050-98-9",31
"2001-81-2",31
"2062-77-3",31
"112192-04-8",31
"20445-94-7",31
"75444-65-4",31
"139290-65-6",31
"2922-44-3",31
"162408-66-4",31
"1473-95-6",31
"1054-88-2",31
"38821-52-2",31
"3200-06-4",31
"156727-74-1",31
"90736-23-5",31
"34140-59-5",31
"56-54-2",31
"NOCAS_47362",31
"405514-94-5",31
"4186-68-9",31
"90-54-0",31
"5156-58-1",31
"85-79-0",31
"60-41-3",31
"110488-70-5",31
"181640-09-5",31
"106266-06-2",31
"548-73-2",31
"86197-47-9",31
"52-53-9",31
"39731-05-0",31
"5588-33-0",31
"1095-90-5",31
"NOCAS_48176",31
"124819-25-6",31
"2753-45-9",31
"133454-47-4",31
"1649-18-9",31
"79278-88-9",31
"537-12-2",31
"5560-59-8",31
"95-83-0",34
"81-64-1",34
"610-39-9",34
"8028-48-6",34
"3290-92-4",34
"22888-70-6",34
"53-86-1",35
"79714-31-1",35
"478-43-3",35
"64-73-3",35
"5809-23-4",35
"460081-99-6",35
"113136-77-9",35
"10469-09-7",35
"79558-09-1",35
"22494-42-4",35
"112529-15-4",35
"61-68-7",35
"136381-85-6",35
"77501-90-7",35
"10592-13-9",35
"4394-00-7",35
"49627-27-2",35
"530-78-9",35
"38194-50-2",35
"59973-80-7",35
"88107-10-2",35
"64-75-5",35
"28772-56-7",35
"60-33-3",35
"144701-48-4",35
"136042-19-8",35
"6385-02-0",35
"50892-23-4",35
"13739-02-1",35
"14228-73-0",35
"6515-38-4",35
"50264-69-2",35
"155141-29-0",35
"13710-19-5",35
"41826-92-0",35
"710-04-3",35
"83-88-5",36
"17372-87-1",36
"64-72-2",36
"15086-94-9",36
"2321-07-5",36
"518-47-8",36
"27072-45-3",36
"752-56-7",36
"204005-46-9",36
"NOCAS_47330",36
"119413-54-6",36
"2693-46-1",36
"952-23-8",36
"1811-28-5",36
"41532-84-7",36
"404001-49-6",37
"171058-21-2",37
"8001-54-5",37
"139-07-1",37
"7281-04-1",37
"61546-01-8",37
"244193-64-4",37
"404001-50-9",37
"122-19-0",37
"56-95-1",37
"3697-42-5",37
"4574-04-3",37
"1119-97-7",37
"75-07-0",37
"404001-48-5",37
"114569-84-5",37
"219947-93-0",37
"244193-59-7",37
"404001-52-1",37
"989-38-8",37
"219947-96-3",37
"140-72-7",37
"123-03-5",37
"11099-03-9",37
"112-03-8",37
"63449-41-2",37
"122-18-9",37
"1155-74-4",37
"121-54-0",37
"25155-18-4",37
"124-03-8",37
"68391-01-5",37
"56-35-9",38
"100-56-1",38
"76-87-9",38
"7487-94-7",38
"7774-29-0",38
"637-03-6",38
"1600-27-7",38
"101-96-2",38
"3737-41-5",38
"81-55-0",38
"54-64-8",38
"379-52-2",38
"548-62-9",38
"506-61-6",38
"3347-22-6",38
"594-30-9",38
"683-18-1",38
"122-64-5",38
"1162-06-7",38
"97-00-7",38
"900-95-8",38
"62-38-4",38
"1594-56-5",38
"1897-45-6",39
"15625-89-5",39
"29091-09-6",39
"137-30-4",39
"484-17-3",39
"3524-68-3",39
"2447-54-3",39
"60506-81-2",39
"2425-06-1",39
"17824-83-8",39
"4986-89-4",39
"2767-54-6",39
"137-26-8",39
"13967-50-5",39
"2243-61-0",39
"13463-41-7",39
"303-45-7",39
"97-74-5",39
"14324-55-1",39
"676116-04-4",39
"555-60-2",39
"2437-29-8",39
"14484-64-1",39
"180084-01-9",39
"804-36-4",39
"513-92-8",39
"3696-28-4",39
"137-29-1",39
"375395-33-8",39
"97-24-5",40
"135-62-6",40
"444610-91-7",40
"110-25-8",40
"609-19-8",40
"1061517-62-1",40
"288104-79-0",40
"317318-84-6",40
"97-18-7",40
"6385-58-6",40
"158081-99-3",40
"153559-49-0",40
"107071-66-9",40
"149413-74-1",40
"54574-82-2",40
"67-97-0",40
"117279-73-9",40
"4901-51-3",40
"298-07-7",40
"434-13-9",40
"608-71-9",40
"3691-35-8",40
"79-94-7",40
"196808-45-4",40
"11096-82-5",41
"1689-99-2",41
"102-08-9",41
"NOCAS_47374",41
"153233-91-1",41
"587-90-6",41
"285983-48-4",41
"58493-49-5",41
"62924-70-3",41
"754-91-6",41
"329-01-1",41
"1689-84-5",41
"107753-78-6",41
"71653-63-9",42
"55219-65-3",42
"53370-90-4",42
"53558-25-1",42
"146653-56-7",42
"60207-93-4",42
"150683-30-0",42
"28159-98-0",42
"51707-55-2",42
"75695-93-1",42
"82-02-0",42
"70693-59-3",42
"26225-79-6",42
"886-50-0",42
"134605-64-4",42
"101-61-1",42
"82626-01-5",42
"86-16-8",42
"709-98-8",42
"94497-51-5",42
"1214-39-7",42
"61213-25-0",42
"NOCAS_45208",42
"82558-50-7",42
"66441-23-4",42
"71283-80-2",42
"39562-70-4",42
"353280-07-6",42
"145858-50-0",42
"214535-77-0",42
"66085-59-4",42
"522-97-4",42
"30544-47-9",42
"404-86-4",42
"57609-64-0",42
"112885-42-4",42
"59937-28-9",42
"101530-10-3",42
"605-71-0",42
"27877-51-6",43
"51338-27-3",43
"117-83-9",43
"51-03-6",43
"94-28-0",43
"54464-57-2",43
"18268-70-7",43
"88671-89-0",43
"13014-18-1",43
"538-74-9",43
"1742-14-9",43
"1104-22-9",43
"82657-04-3",43
"76578-14-8",43
"68-36-0",43
"55142-85-3",43
"131983-72-7",43
"72-56-0",43
"6928-67-2",43
"87818-31-3",43
"77-90-7",43
"12674-11-2",43
"573-17-1",43
"3278-89-5",43
"80-33-1",43
"4559-86-8",43
"83-66-9",43
"122008-85-9",43
"69806-50-4",43
"79241-46-6",43
"10453-86-8",43
"28434-01-7",43
"60348-60-9",43
"32534-81-9",43
"1836-75-5",43
"95-06-7",43
"39515-41-8",43
"2050-47-7",43
"32388-55-9",43
"66898-62-2",44
"13927-77-0",44
"130929-57-6",44
"1271-28-9",44
"71-48-7",44
"7718-54-9",44
"10026-24-1",44
"1277-43-6",44
"91-44-1",45
"3331-46-2",45
"50-32-8",45
"396-01-0",45
"1216920-18-1",45
"205-99-2",45
"87-01-4",45
"207-08-9",45
"103764-33-6",45
"58-32-2",45
"16470-24-9",45
"1210-12-4",45
"1081-34-1",45
"63041-77-0",45
"27344-41-8",45
"38609-97-1",45
"52417-22-8",45
"613-13-8",45
