cas,cluster,smiles
2135-17-3,4,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
3385-03-3,4,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
76-25-5,4,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO
338-98-7,4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
2349-07-7,5,CCCCCCOC(=O)C(C)C
72590-77-3,5,CCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)COC(=O)CC
76-90-4,5,C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
2011-67-8,5,CN1C2=CC=C(C=C2C(=NCC1=O)C1=CC=CC=C1)[N+]([O-])=O
115256-11-6,5,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
1180-71-8,5,CC1(C)OC2CC(=O)OCC22C1CC(=O)C1(C)C2CCC2(C)C(OC(=O)C3OC123)C1=COC=C1
99464-64-9,5,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)C2=CC=CC=C12)C(=O)NC1=NC=CC=C1
544-62-7,5,CCCCCCCCCCCCCCCCCCOCC(O)CO
13380-94-4,5,O=C1CC2CC1C1CCCC21
30748-29-9,5,CC(C)=CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
1642-54-2,5,CCN(CC)C(=O)N1CCN(C)CC1
55837-27-9,5,NS(=O)(=O)C1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)N1CCCC1
26040-51-7,5,CCCCC(CC)COC(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1C(=O)OCC(CC)CCCC
88678-31-3,5,COC1=CC=CC(=N1)N(C)C(=S)OC1=CC2=C(CCCC2)C=C1
151-73-5,5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O
2392-39-4,5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O
2305-05-7,5,CCCCCCCCC1CCC(=O)O1
67-78-7,5,CC(=O)OCC(=O)C1(O)C(CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)OC(C)=O
60166-93-0,5,CC(O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I
1115-70-4,5,CN(C)C(=N)NC(N)=N
82626-48-0,5,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
562-49-2,6,CCC(C)(C)CC
64063-37-2,6,CC1=C(Cl)C(N)=C(Cl)C=C1
111-26-2,6,CCCCCCN
1633-05-2,6,OC(O)=O
110-43-0,6,CCCCCC(C)=O
143-22-6,6,CCCCOCCOCCOCCO
5632-47-3,6,O=NN1CCNCC1
5459-58-5,6,CCCCOC(=O)CC#N
544-92-3,6,C#N
72269-48-8,6,CCCCCCCCC=CCCCOC(C)=O
6673-35-4,6,CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1
2497-21-4,6,CCC(=O)C=CC
122-60-1,6,C(OC1=CC=CC=C1)C1CO1
3710-84-7,6,CCN(O)CC
7785-70-8,6,CC1=CCC2CC1C2(C)C
3179-47-3,6,CCCCCCCCCCOC(=O)C(C)=C
840-65-3,6,COC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(=O)OC
1975-78-6,6,CCCCCCCCCC#N
67-66-3,6,ClC(Cl)Cl
10016-20-3,6,[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O
109-89-7,6,CCNCC
122-70-3,6,CCC(=O)OCCC1=CC=CC=C1
578-46-1,6,CC1=CC=C(C(N)=C1)[N+]([O-])=O
509-60-4,6,[H]C12CC3=C4C(OC5C(O)CCC1C45CCN2C)=C(O)C=C3
626-56-2,6,CC1CCCNC1
2338-76-3,6,FC(F)(F)C1=CC(CC#N)=CC=C1
156-59-2,6,ClC=CCl
67-63-0,6,CC(C)O
20224-45-7,6,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
111-66-0,6,CCCCCCC=C
56-89-3,6,NC(CSSCC(N)C(O)=O)C(O)=O
352-93-2,6,CCSCC
139-66-2,6,S(C1=CC=CC=C1)C1=CC=CC=C1
137-06-4,6,CC1=CC=CC=C1S
4300-97-4,6,CC(C)(CCl)C(Cl)=O
563-72-4,6,OC(=O)C(O)=O
23432-62-4,6,COC(=O)NCCC[Si](OC)(OC)OC
121057-90-7,6,CC[N+]1(C)CCCC1
35935-34-3,6,CCN1C=C[N+](C)=C1
4130-08-9,6,CC(=O)O[Si](OC(C)=O)(OC(C)=O)C=C
4016-14-2,6,CC(C)OCC1CO1
333-27-7,6,COS(=O)(=O)C(F)(F)F
15706-73-7,6,CCCCOC(=O)C(C)CC
60-56-0,6,CN1CC=NC1=S
18694-40-1,6,COC1=CC(C)=NN1C1=NC(OC)=CC(C)=N1
58-15-1,6,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
625-55-8,6,CC(C)OC=O
98-82-8,6,CC(C)C1=CC=CC=C1
765-15-1,6,CCCCCCCCCCCCSC#N
938-73-8,6,CCOC1=C(C=CC=C1)C(N)=O
4536-30-5,6,CCCCCCCCCCCCOCCO
64057-70-1,6,CNC(C)CC1=CC2=C(OCO2)C=C1
178600-17-4,6,OC(CNCCOC1=CC=C(CC(O)=O)C=C1)C1=CC=CC=C1
22915-73-7,6,O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
123-35-3,6,CC(C)=CCCC(=C)C=C
64808-48-6,6,OC(=O)C1=CC=CC=C1NC1=C(C=CC(Cl)=C1)C(O)=O
5138-18-1,6,OC(=O)CC(C(O)=O)S(O)(=O)=O
100-64-1,6,O=NC1CCCCC1
2554-06-5,6,C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C
487-93-4,6,CN(C)CCC1=CNC2=C1C=C(O)C=C2
591-17-3,6,CC1=CC=CC(Br)=C1
2420-87-3,6,O=C1OC(=O)C2=C1C=CC(=C2)C1=CC2=C(C=C1)C(=O)OC2=O
118-56-9,6,CC1CC(CC(C)(C)C1)OC(=O)C1=C(O)C=CC=C1
137-40-6,6,CCC(O)=O
67874-72-0,6,CCC(C)(C)C1CCCCC1OC(C)=O
98-53-3,6,CC(C)(C)C1CCC(=O)CC1
7007-96-7,6,CC=CCN=NC(=O)C1=CC=NC=C1
1975-50-4,6,CC1=C(C=CC=C1C(O)=O)[N+]([O-])=O
124-12-9,6,CCCCCCCC#N
2270-60-2,6,COC(=O)CC(C)CCC=C(C)C
26259-45-0,6,CCNC1=NC(OC)=NC(NC(C)CC)=N1
636-26-0,6,CC1C=NC(=S)NC1=O
4684-94-0,6,OC(=O)C1=NC(Cl)=CC=C1
684-93-5,6,CN(N=O)C(N)=O
486-12-4,7,CC1=CC=C(C=C1)C(=CCN1CCCC1)C1=CC=CC=N1
1094-08-2,7,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12
6452-73-9,7,CC(C)NCC(O)COC1=CC=CC=C1OCC=C
3239-45-0,7,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
110-65-6,7,OCC#CCO
68677-26-9,7,CN(C)CCC1=CNC2=C1C=CC=C2
31895-22-4,7,CN(C)C1CSSSC1
1450-85-7,7,S=C1N=CCC=N1
135-23-9,7,CN(C)CCN(CC1=CC=CS1)C1=CC=CC=N1
5424-37-3,7,CC1=NC2=CC=C(NC(=O)NC3=CC=C4N=C(C)C=C(N)C4=C3)C=C2C(N)=C1
61546-00-7,7,CCCCCCCCCCCCN1C=C[N+](C)=C1
53179-07-0,7,CNCCC(OC1=CC=CC=C1OC)C1=CC=CC=C1
1176-08-5,7,CN(C)CCOC1=C(CC2=CC=CC=C2)C=CC=C1
5437-45-6,7,BrCC(=O)OCC1=CC=CC=C1
541-53-7,7,NC(=S)NC(N)=S
2365-48-2,7,COC(=O)CS
55704-78-4,7,CC1(O)CSC(C)(O)CS1
57574-09-1,7,OC(=O)CCCCCCNC1C2=C(CCC3=C1C=CC=C3)C=CC=C2
58066-85-6,7,CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C
126-06-7,7,CC1(C)N(Cl)C(=O)N(Br)C1=O
447-41-6,7,CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1
623-51-8,7,CCOC(=O)CS
315-80-0,7,CN(C)CCN1C2=C(C=CC=C2)N(C)C2=C(C=CC=C2)C1=O
4682-36-4,7,CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1
108-98-5,7,SC1=CC=CC=C1
1617-90-9,7,CCC12CCCN3CCC4=C(C13)N(C1=CC=CC=C41)C(O)(C2)C(=O)OC
25389-94-0,7,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
552-22-7,7,CC(C)C1=C(OI)C=C(C)C(=C1)C1=CC(C(C)C)=C(OI)C=C1C
31677-93-7,7,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1
6138-56-3,7,CN(C)CCN(CC1=CC=CC=C1)C1=NC=CC=C1
130-20-1,7,ClC1=C2NC3=C4C(=O)C5=C(C=CC=C5)C(=O)C4=CC(Cl)=C3NC2=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1
611-09-6,7,[O-][N+](=O)C1=CC2=C(NC(=O)C2=O)C=C1
5039-78-1,7,CC(=C)C(=O)OCC[N+](C)(C)C
7152-80-9,7,CN(C)C1=CC=C(SC#N)C=C1
90494-79-4,7,FC(F)(F)C1=CC=CC(=C1)C1=CCN(CCC2=CC=C3C=CC=CC3=C2)CC1
150408-73-4,7,FC1=C(C=CC=C1)C1=NC(NC(=O)C2=CC3=CC=CC=C3N2)C(=O)N2CCC3=C2C1=CC=C3
51-65-0,7,NC(CC1=CC=C(F)C=C1)C(O)=O
91-84-9,7,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1
179113-91-8,7,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(O)=O
89565-68-4,7,[H]C12CCC([H])(CC(C1)OC(=O)C1=CNC3=CC=CC=C13)N2C
147-24-0,7,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
58-73-1,7,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
2224-15-9,8,C(COCC1CO1)OCC1CO1
73231-34-2,8,CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CF)NC(=O)C(Cl)Cl
159701-44-7,8,CCN(CC)C(=O)NC1CN(C)C2CC3=CNC4=CC=CC(=C34)C2=C1
78-10-4,8,CCO[Si](OCC)(OCC)OCC
10402-53-6,8,CCOC(CN1CCN(CC(C)C(=O)C2=CC=CC=C2)CC1)C1=CC=CC=C1
673-31-4,8,NC(=O)OCCCC1=CC=CC=C1
36443-80-8,8,C[N+]1=CN(CC2=CC=CC=C2)C=C1
28721-07-5,8,NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12
3616-78-2,8,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
18109-81-4,8,CCC(C(=O)OCCOCCN(CC)CC)C1=CC=CC=C1
3575-80-2,8,CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1
637-58-1,8,CCCCOC1=CC=C(OCCCN2CCOCC2)C=C1
70458-95-6,8,CCN1C=C(C(O)=O)C(=O)C2=C1C=C(N1CCN(C)CC1)C(F)=C2
52-24-4,8,S=P(N1CC1)(N1CC1)N1CC1
5053-08-7,8,O=C1NCC2(CCN(CCC3=CC=CC=C3)CC2)O1
136-47-0,8,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C
546-06-5,8,CC1C2CCC3C4CC=C5CC(CCC5(C)C4CCC23CN1C)N(C)C
54188-38-4,8,COC1=CC=C2N3CCN(C)C4=NCCC(C2=C1)=C34
19719-28-9,8,OC(=O)CC1=C(Cl)C=C(Cl)C=C1
36431-72-8,8,CC1CCC2(O1)C(C)=CCCC2(C)C
124832-27-5,8,CC(C)C(N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O
149-16-6,8,CCCCN(CCCC)CCCOC(=O)C1=CC=C(N)C=C1
18480-53-0,8,OC(=O)C1=C(Cl)C(Cl)=NS1
54-80-8,8,CC(C)NCC(O)C1=CC2=CC=CC=C2C=C1
