"","cas","cluster","inchikey","short_key","target_gene"
"219","231277-92-2",2,"BCFGMOOMADDAQU-UHFFFAOYSA-N","BCFGMOOMADDAQU","ERBB2"
"220","231277-92-2",2,"BCFGMOOMADDAQU-UHFFFAOYSA-N","BCFGMOOMADDAQU","EGFR"
"221","231277-92-2",2,"BCFGMOOMADDAQU-UHFFFAOYSA-N","BCFGMOOMADDAQU","KCNH2"
"222","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD2"
"223","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD4"
"224","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ABCB1"
"225","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HRH1"
"226","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","SLC6A4"
"227","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","DRD3"
"228","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR1B"
"229","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA2C"
"230","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR2A"
"231","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR7"
"232","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA1B"
"233","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA2A"
"234","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","ADRA1A"
"235","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR1D"
"236","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR2C"
"237","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR1A"
"238","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR3A"
"239","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR6"
"240","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","HTR2B"
"241","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","H1F0"
"242","129722-12-9",2,"CEUORZQYGODEFX-UHFFFAOYSA-N","CEUORZQYGODEFX","KCNH2"
"243","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","CYP2C9"
"244","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","EBP"
"245","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNA7"
"246","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","SCN5A"
"247","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","SIGMAR1"
"248","19774-82-4",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","KCNH2"
"249","1951-25-3",2,"IYIKLHRQXLHMJQ-UHFFFAOYSA-N","IYIKLHRQXLHMJQ","CYP2C9"
