"","cas","cluster","inchikey","short_key","target_gene"
"70","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","DRD2"
"71","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","HRH1"
"72","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","HTR2A"
"73","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","HTR2C"
"74","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","HTR6"
"75","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","HTR7"
"76","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR1A"
"77","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR1B"
"78","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR1D"
"79","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR1E"
"80","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR1F"
"81","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR2A"
"82","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR2B"
"83","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR2C"
"84","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR5A"
"85","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR6"
"86","20229-30-5",1,"RLJFTICUTYVZDG-UHFFFAOYSA-N","RLJFTICUTYVZDG","HTR7"
"87","54910-89-3",1,"RTHCYVBBDHJXIQ-UHFFFAOYSA-N","RTHCYVBBDHJXIQ","ANO1"
"88","54910-89-3",1,"RTHCYVBBDHJXIQ-UHFFFAOYSA-N","RTHCYVBBDHJXIQ","HTR2B"
"89","54910-89-3",1,"RTHCYVBBDHJXIQ-UHFFFAOYSA-N","RTHCYVBBDHJXIQ","SLC6A4"
"90","79559-97-0",1,"VGKDLMBJGBXTGI-UHFFFAOYSA-N","VGKDLMBJGBXTGI","SLC6A3"
"91","79559-97-0",1,"VGKDLMBJGBXTGI-UHFFFAOYSA-N","VGKDLMBJGBXTGI","SLC6A4"
"92","848-53-3",1,"WEUCDJCFJHYFRL-UHFFFAOYSA-N","WEUCDJCFJHYFRL","HRH1"
"93","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","CHRM1"
"94","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","CHRM2"
"95","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","CHRM3"
"96","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","CHRM4"
"97","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","CHRM5"
"98","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","DRD1"
"99","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","DRD2"
"100","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","DRD3"
"101","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","HRH1"
"102","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","HTR2A"
"103","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","HTR2B"
"104","113-59-7",1,"WSPOMRSOLSGNFJ-UHFFFAOYSA-N","WSPOMRSOLSGNFJ","HTR2C"
